Algorithm,Variant Filter,Model Name,Dep Thresh,AND Thresh,Loop Thresh,Perfect Fitting Traces (%),Average Trace Fitness,Precision,Generalization,Node Size,Arc Size,Cyclicity,Noise Thresh,F-Score,Low Precision,Low Fitness,Cyc Factor,Total Size,Size Norm,Size Factor,DM Score
heuristic,top100,heu_top100_dep_0.90_and_0.90_loop_0.30,0.9,0.9,0.3,12.33,0.9271270768679672,0.9773170189455468,0.9869240912424178,68,87,0.6911764705882353,,0.9515606921097326,False,False,0.8272058823529411,155,0.3087557603686636,0.9536866359447005,0.7506816579226172
heuristic,top100,heu_top100_dep_0.95_and_0.90_loop_0.65,0.95,0.9,0.65,12.33,0.9271270768679672,0.9773170189455468,0.9869240912424178,68,87,0.6911764705882353,,0.9515606921097326,False,False,0.8272058823529411,155,0.3087557603686636,0.9536866359447005,0.7506816579226172
heuristic,top100,heu_top100_dep_0.95_and_0.90_loop_0.90,0.95,0.9,0.9,12.33,0.9271270768679672,0.9773170189455468,0.9869240912424178,68,87,0.6911764705882353,,0.9515606921097326,False,False,0.8272058823529411,155,0.3087557603686636,0.9536866359447005,0.7506816579226172
heuristic,top100,heu_top100_dep_0.95_and_0.90_loop_0.95,0.95,0.9,0.95,12.33,0.9271270768679672,0.9773170189455468,0.9869240912424178,68,87,0.6911764705882353,,0.9515606921097326,False,False,0.8272058823529411,155,0.3087557603686636,0.9536866359447005,0.7506816579226172
heuristic,top100,heu_top100_dep_0.95_and_0.90_loop_0.99,0.95,0.9,0.99,12.33,0.9271270768679672,0.9773170189455468,0.9869240912424178,68,87,0.6911764705882353,,0.9515606921097326,False,False,0.8272058823529411,155,0.3087557603686636,0.9536866359447005,0.7506816579226172
heuristic,top100,heu_top100_dep_0.99_and_0.90_loop_0.30,0.99,0.9,0.3,12.33,0.9271270768679672,0.9773170189455468,0.9869240912424178,68,87,0.6911764705882353,,0.9515606921097326,False,False,0.8272058823529411,155,0.3087557603686636,0.9536866359447005,0.7506816579226172
heuristic,top100,heu_top100_dep_0.99_and_0.90_loop_0.99,0.99,0.9,0.99,12.33,0.9271270768679672,0.9773170189455468,0.9869240912424178,68,87,0.6911764705882353,,0.9515606921097326,False,False,0.8272058823529411,155,0.3087557603686636,0.9536866359447005,0.7506816579226172
heuristic,top100,heu_top100_dep_0.99_and_0.90_loop_0.95,0.99,0.9,0.95,12.33,0.9271270768679672,0.9773170189455468,0.9869240912424178,68,87,0.6911764705882353,,0.9515606921097326,False,False,0.8272058823529411,155,0.3087557603686636,0.9536866359447005,0.7506816579226172
heuristic,top100,heu_top100_dep_0.99_and_0.90_loop_0.90,0.99,0.9,0.9,12.33,0.9271270768679672,0.9773170189455468,0.9869240912424178,68,87,0.6911764705882353,,0.9515606921097326,False,False,0.8272058823529411,155,0.3087557603686636,0.9536866359447005,0.7506816579226172
heuristic,top100,heu_top100_dep_0.90_and_0.90_loop_0.99,0.9,0.9,0.99,12.33,0.9271270768679672,0.9773170189455468,0.9869240912424178,68,87,0.6911764705882353,,0.9515606921097326,False,False,0.8272058823529411,155,0.3087557603686636,0.9536866359447005,0.7506816579226172
heuristic,top100,heu_top100_dep_0.99_and_0.90_loop_0.65,0.99,0.9,0.65,12.33,0.9271270768679672,0.9773170189455468,0.9869240912424178,68,87,0.6911764705882353,,0.9515606921097326,False,False,0.8272058823529411,155,0.3087557603686636,0.9536866359447005,0.7506816579226172
heuristic,top100,heu_top100_dep_0.30_and_0.95_loop_0.95,0.3,0.95,0.95,28.85,0.9372595288140132,0.9279855499572204,0.9876515527593002,69,87,0.6666666666666666,,0.9325994843230905,False,False,0.8333333333333334,156,0.31336405529953915,0.9529953917050691,0.740635842388691
heuristic,top100,heu_top100_dep_0.30_and_0.95_loop_0.99,0.3,0.95,0.99,28.85,0.9372595288140132,0.9279855499572204,0.9876515527593002,69,87,0.6666666666666666,,0.9325994843230905,False,False,0.8333333333333334,156,0.31336405529953915,0.9529953917050691,0.740635842388691
heuristic,top100,heu_top100_dep_0.30_and_0.95_loop_0.30,0.3,0.95,0.3,28.85,0.9372595288140132,0.9279855499572204,0.9876515527593002,69,87,0.6666666666666666,,0.9325994843230905,False,False,0.8333333333333334,156,0.31336405529953915,0.9529953917050691,0.740635842388691
heuristic,top100,heu_top100_dep_0.30_and_0.95_loop_0.65,0.3,0.95,0.65,28.85,0.9372595288140132,0.9279855499572204,0.9876515527593002,69,87,0.6666666666666666,,0.9325994843230905,False,False,0.8333333333333334,156,0.31336405529953915,0.9529953917050691,0.740635842388691
heuristic,top100,heu_top100_dep_0.65_and_0.99_loop_0.99,0.65,0.99,0.99,28.85,0.9372595288140132,0.9279855499572204,0.9876515527593002,69,87,0.6666666666666666,,0.9325994843230905,False,False,0.8333333333333334,156,0.31336405529953915,0.9529953917050691,0.740635842388691
heuristic,top100,heu_top100_dep_0.65_and_0.99_loop_0.95,0.65,0.99,0.95,28.85,0.9372595288140132,0.9279855499572204,0.9876515527593002,69,87,0.6666666666666666,,0.9325994843230905,False,False,0.8333333333333334,156,0.31336405529953915,0.9529953917050691,0.740635842388691
heuristic,top100,heu_top100_dep_0.65_and_0.99_loop_0.90,0.65,0.99,0.9,28.85,0.9372595288140132,0.9279855499572204,0.9876515527593002,69,87,0.6666666666666666,,0.9325994843230905,False,False,0.8333333333333334,156,0.31336405529953915,0.9529953917050691,0.740635842388691
heuristic,top100,heu_top100_dep_0.65_and_0.99_loop_0.65,0.65,0.99,0.65,28.85,0.9372595288140132,0.9279855499572204,0.9876515527593002,69,87,0.6666666666666666,,0.9325994843230905,False,False,0.8333333333333334,156,0.31336405529953915,0.9529953917050691,0.740635842388691
heuristic,top100,heu_top100_dep_0.65_and_0.99_loop_0.30,0.65,0.99,0.3,28.85,0.9372595288140132,0.9279855499572204,0.9876515527593002,69,87,0.6666666666666666,,0.9325994843230905,False,False,0.8333333333333334,156,0.31336405529953915,0.9529953917050691,0.740635842388691
heuristic,top100,heu_top100_dep_0.65_and_0.95_loop_0.99,0.65,0.95,0.99,28.85,0.9372595288140132,0.9279855499572204,0.9876515527593002,69,87,0.6666666666666666,,0.9325994843230905,False,False,0.8333333333333334,156,0.31336405529953915,0.9529953917050691,0.740635842388691
heuristic,top100,heu_top100_dep_0.65_and_0.95_loop_0.95,0.65,0.95,0.95,28.85,0.9372595288140132,0.9279855499572204,0.9876515527593002,69,87,0.6666666666666666,,0.9325994843230905,False,False,0.8333333333333334,156,0.31336405529953915,0.9529953917050691,0.740635842388691
heuristic,top100,heu_top100_dep_0.65_and_0.95_loop_0.90,0.65,0.95,0.9,28.85,0.9372595288140132,0.9279855499572204,0.9876515527593002,69,87,0.6666666666666666,,0.9325994843230905,False,False,0.8333333333333334,156,0.31336405529953915,0.9529953917050691,0.740635842388691
heuristic,top100,heu_top100_dep_0.30_and_0.95_loop_0.90,0.3,0.95,0.9,28.85,0.9372595288140132,0.9279855499572204,0.9876515527593002,69,87,0.6666666666666666,,0.9325994843230905,False,False,0.8333333333333334,156,0.31336405529953915,0.9529953917050691,0.740635842388691
heuristic,top100,heu_top100_dep_0.65_and_0.95_loop_0.30,0.65,0.95,0.3,28.85,0.9372595288140132,0.9279855499572204,0.9876515527593002,69,87,0.6666666666666666,,0.9325994843230905,False,False,0.8333333333333334,156,0.31336405529953915,0.9529953917050691,0.740635842388691
heuristic,top100,heu_top100_dep_0.30_and_0.99_loop_0.99,0.3,0.99,0.99,28.85,0.9372595288140132,0.9279855499572204,0.9876515527593002,69,87,0.6666666666666666,,0.9325994843230905,False,False,0.8333333333333334,156,0.31336405529953915,0.9529953917050691,0.740635842388691
